wavelength,fwhm
400.0,14.128492
412.5,9.865473
442.5,9.951576
490.0,9.983463
510.0,9.960835
560.0,10.001331
620.0,9.929296
665.0,9.929296
673.7,7.5026803
681.25,7.5008273
708.75,10.02018
753.75,7.492123
761.25,2.564887
764.375,3.7225013
767.5,2.5532484
778.75,14.998115
865.0,19.920748
885.0,9.955719
900.0,9.947515
940.0,19.836689
1020.0,26.936745
